Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Priority,Status,Acquisition_Notes,Link,Search_Query
198,Econometric Methods,Textbook,Lutkepohl,Helmut,New Introduction to Multiple Time Series Analysis,2005,Springer,BOOK,MEDIUM,NEEDED,Springer or Amazon,https://www.springer.com/,Lutkepohl New Introduction to Multiple Time Series Analysis
199,Agent-Based Modeling,Survey,Axtell,Regulatory Document Library,"Agent-Based Modeling in Economics and Finance: Past, Present, and Future (JEL)",2025,Journal of Economic Literature,ARTICLE,CRITICAL,NEEDED,AEA; landmark survey article,https://www.aeaweb.org/,"Axtell Agent-Based Modeling in Economics and Finance: Past, Present, and Future"
200,Agent-Based Modeling,Systemic Risk,Poledna,Sebastian,Leverage-induced systemic risk under Basle II (JBFIN),2014,Journal of Banking and Finance,ARTICLE,CRITICAL,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Poledna Leverage-induced systemic risk under Basle II
201,Agent-Based Modeling,Forecasting,Poledna,Sebastian,Economic Forecasting with an Agent-Based Model (EER),2023,European Economic Review,ARTICLE,HIGH,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Poledna Economic Forecasting with an Agent-Based Model
202,Agent-Based Modeling,Policy,Klimek,Peter,To Bail-Out or to Bail-In? Answers from an ABM (JEDC),2015,Journal of Economic Dynamics and Control,ARTICLE,HIGH,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Klimek To Bail-Out or to Bail-In? Answers from an ABM
203,Agent-Based Modeling,Housing,Geanakoplos,John,Getting at Systemic Risk via an Agent-Based Model of the Housing Market (AER P&P),2012,American Economic Review Papers & Proceedings,ARTICLE,HIGH,NEEDED,AEA,https://www.aeaweb.org/,Geanakoplos Getting at Systemic Risk via an Agent-Based Model of the Housing Market
204,Agent-Based Modeling,Theory,Bookstaber,Richard,The End of Theory,2017,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Bookstaber The End of Theory
205,Agent-Based Modeling,Forecasting,Hommes,Cars,Analyzing and Forecasting Economic Crises with an ABM of the Euro Area,2023,,WORKING_PAPER,HIGH,NEEDED,Check SSRN or author website,https://papers.ssrn.com/,Hommes Analyzing and Forecasting Economic Crises with an ABM of the Euro Area
206,Agent-Based Modeling,Policy,Bookstaber,Richard,Agent-Based Models for Analyzing Threats to Financial Stability (OFR WP),2014,OFR,WORKING_PAPER,MEDIUM,NEEDED,Free from OFR,https://www.financialresearch.gov/,Bookstaber Agent-Based Models for Analyzing Threats to Financial Stability
207,Agent-Based Modeling,Tax,Poledna,Sebastian,Elimination of Systemic Risk in Financial Networks by Means of a Systemic Risk Transaction Tax,2016,,ARTICLE,MEDIUM,NEEDED,Check journal via Google Scholar,https://scholar.google.com/scholar?q=Poledna+Elimination+of+Systemic+Risk+in+Financial+Networks+by+Means+of+a+Systemic+Risk,Poledna Elimination of Systemic Risk in Financial Networks by Means of a Systemic Risk
208,Agent-Based Modeling,Central Banking,Borsos,Andras,Agent-based modeling at central banks,2024,,WORKING_PAPER,MEDIUM,NEEDED,Check BIS or ECB working papers,https://scholar.google.com/scholar?q=Borsos+Agent-based+modeling+at+central+banks,Borsos Agent-based modeling at central banks
209,Banking Theory,Core,Diamond,Douglas,"Bank Runs, Deposit Insurance, and Liquidity (JPE)",1983,Journal of Political Economy,ARTICLE,HIGH,PARTIAL,Item 86 in existing CSV - verify full acquisition,https://www.jstor.org/,"Diamond Bank Runs, Deposit Insurance, and Liquidity"
210,Banking Theory,Core,Diamond,Douglas,Financial Intermediation and Delegated Monitoring (RES),1984,Review of Economic Studies,ARTICLE,HIGH,NEEDED,JSTOR or Oxford Academic,https://academic.oup.com/restud,Diamond Financial Intermediation and Delegated Monitoring
211,Banking Theory,Money,Ricks,Morgan,The Money Problem: Rethinking Financial Regulation,2016,University of Chicago Press,BOOK,HIGH,NEEDED,UChicago Press or Amazon,https://press.uchicago.edu/,Ricks The Money Problem: Rethinking Financial Regulation
212,Banking Theory,Macro-Finance,Brunnermeier,Markus,A Macroeconomic Model with a Financial Sector (AER),2014,American Economic Review,ARTICLE,HIGH,NEEDED,AEA,https://www.aeaweb.org/,Brunnermeier A Macroeconomic Model with a Financial Sector
213,Banking Theory,Networks,Eisenberg,Larry,Systemic Risk in Financial Systems (Mgmt Sci),2001,Management Science,ARTICLE,HIGH,NEEDED,INFORMS,https://pubsonline.informs.org/,Eisenberg Systemic Risk in Financial Systems
214,Banking Theory,Networks,Acemoglu,Daron,Systemic Risk and Stability in Financial Networks (AER),2015,American Economic Review,ARTICLE,HIGH,PARTIAL,Item 70 in existing CSV - verify acquisition,https://www.aeaweb.org/,Acemoglu Systemic Risk and Stability in Financial Networks
215,Banking Theory,Asset Pricing,He,Zhiguo,Intermediary Asset Pricing (AER),2013,American Economic Review,ARTICLE,MEDIUM,NEEDED,AEA,https://www.aeaweb.org/,He Intermediary Asset Pricing
216,Banking Theory,Leverage,Adrian,Tobias,Liquidity and Leverage (JFI),2010,Journal of Financial Intermediation,ARTICLE,MEDIUM,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Adrian Liquidity and Leverage
217,Financial Regulation,Textbook,Barr,Michael,Financial Regulation: Law and Policy (3rd ed),2021,Foundation Press,BOOK,HIGH,NEEDED,Foundation Press or Amazon; standard law school text,https://scholar.google.com/scholar?q=Barr+Financial+Regulation%3A+Law+and+Policy,Barr Financial Regulation: Law and Policy
218,Financial Regulation,Basel,Tarullo,Daniel,Banking on Basel,2008,Peterson Institute,BOOK,HIGH,NEEDED,Peterson Institute or Amazon,https://www.piie.com/,Tarullo Banking on Basel
219,Financial Regulation,Policy,Tarullo,Daniel,Financial Regulation: Still Unsettled a Decade After the Crisis (JEP),2019,Journal of Economic Perspectives,ARTICLE,HIGH,NEEDED,Free from AEA,https://www.aeaweb.org/articles?id=10.1257/jep.33.1.61,Tarullo Financial Regulation: Still Unsettled a Decade After the Crisis
220,Financial Regulation,Policy,Quarles,Randal,Stress Testing: A Discussion and Review (Brookings speech),2019,Brookings/Federal Reserve,REGULATORY,HIGH,NEEDED,Fed speeches archive,https://www.federalreserve.gov/newsevents/speeches.htm,Quarles Stress Testing: A Discussion and Review
221,Financial Regulation,Historical,Conti-Brown,Peter,"Private Finance, Public Power",2025,,BOOK,HIGH,NEEDED,Recently published; check publisher,https://scholar.google.com/scholar?q=Conti-Brown+Private+Finance%2C+Public+Power,"Conti-Brown Private Finance, Public Power"
222,Financial Regulation,Political Economy,Calomiris,Charles,Fragile by Design: The Political Origins of Banking Crises,2014,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Calomiris Fragile by Design: The Political Origins of Banking Crises
223,Financial Regulation,Macroprudential,Aikman,David,Would Macroprudential Regulation Have Prevented the Last Crisis? (JEP),2019,Journal of Economic Perspectives,ARTICLE,HIGH,NEEDED,Free from AEA,https://www.aeaweb.org/,Aikman Would Macroprudential Regulation Have Prevented the Last Crisis?
224,Financial Regulation,Industry,Bank Policy Institute,,Comprehensive Assessment of the Federal Reserve's Stress Testing Program,2022,BPI,REPORT,HIGH,DOWNLOADED,Free from BPI; Downloaded 2026-02-26,https://bpi.com/research/,Bank Policy Institute Comprehensive Assessment of the Federal Reserve's Stress Testing Program
225,Financial Regulation,Textbook,Spong,Kenneth,"Banking Regulation: Its Purposes, Implementation, and Effects (5th ed)",2000,Federal Reserve Bank of Kansas City,BOOK,MEDIUM,NEEDED,Free from KC Fed,https://www.kansascityfed.org/,"Spong Banking Regulation: Its Purposes, Implementation, and Effects"
226,Historical Institutionalism,Core,Pierson,Paul,"Politics in Time: History, Institutions, and Social Analysis",2004,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,"Pierson Politics in Time: History, Institutions, and Social Analysis"
227,Historical Institutionalism,Core,Thelen,Kathleen,Historical Institutionalism in Comparative Politics (ARPS),1999,Annual Review of Political Science,ARTICLE,HIGH,NEEDED,Annual Reviews,https://www.annualreviews.org/,Thelen Historical Institutionalism in Comparative Politics
228,Historical Institutionalism,Methods,George,Alexander,Case Studies and Theory Development in the Social Sciences,2005,MIT Press,BOOK,HIGH,NEEDED,MIT Press or Amazon,https://mitpress.mit.edu/,George Case Studies and Theory Development in the Social Sciences
229,Historical Institutionalism,Change,Mahoney,James,Explaining Institutional Change,2010,Cambridge UP,BOOK,MEDIUM,NEEDED,Cambridge UP or Amazon,https://www.cambridge.org/,Mahoney Explaining Institutional Change
230,Historical Institutionalism,Change,Streeck,Wolfgang,Beyond Continuity: Institutional Change in Advanced Political Economies,2005,Oxford UP,BOOK,MEDIUM,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=Streeck+Beyond+Continuity%3A+Institutional+Change+in+Advanced+Political+Economies,Streeck Beyond Continuity: Institutional Change in Advanced Political Economies
231,Historical Institutionalism,Theory,Hall,Peter,Political Science and the Three New Institutionalisms (Political Studies),1996,Political Studies,ARTICLE,MEDIUM,NEEDED,SAGE Journals,https://journals.sagepub.com/,Hall Political Science and the Three New Institutionalisms
232,Oral History Methodology,Core,Ritchie,Donald,Doing Oral History (3rd ed),2014,Oxford UP,BOOK,HIGH,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=Ritchie+Doing+Oral+History,Ritchie Doing Oral History
233,Oral History Methodology,Theory,Portelli,Alessandro,The Death of Luigi Trastulli and Other Stories,1991,SUNY Press,BOOK,HIGH,NEEDED,SUNY Press or Amazon,https://scholar.google.com/scholar?q=Portelli+The+Death+of+Luigi+Trastulli+and+Other+Stories,Portelli The Death of Luigi Trastulli and Other Stories
234,Oral History Methodology,Archival,Stoler,Ann Laura,Along the Archival Grain,2009,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Stoler Along the Archival Grain
235,Oral History Methodology,Handbook,Ritchie,Donald,The Oxford Handbook of Oral History,2011,Oxford UP,BOOK,MEDIUM,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=Ritchie+The+Oxford+Handbook+of+Oral+History,Ritchie The Oxford Handbook of Oral History
236,Oral History Methodology,Government,Ritchie,Donald,Top Down/Bottom Up: Using Oral History to Re-examine Government Institutions (Oral History),2014,Oral History,ARTICLE,MEDIUM,NEEDED,Check JSTOR or publisher,https://scholar.google.com/scholar?q=Ritchie+Top+Down%2FBottom+Up%3A+Using+Oral+History+to+Re-examine+Government+Institutions,Ritchie Top Down/Bottom Up: Using Oral History to Re-examine Government Institutions
237,Systemic Risk Networks,Core,Haldane,Andrew,Rethinking the Financial Network (speech),2009,Bank of England,REGULATORY,HIGH,DOWNLOADED,Free from BoE; Downloaded 2026-02-26,https://www.bankofengland.co.uk/speech/2009/rethinking-the-financial-network,Haldane Rethinking the Financial Network
238,Systemic Risk Networks,Core,Haldane,Andrew,Systemic Risk in Banking Ecosystems (Nature),2011,Nature,ARTICLE,HIGH,NEEDED,Nature.com,https://www.nature.com/,Haldane Systemic Risk in Banking Ecosystems
239,Systemic Risk Networks,Core,Battiston,Stefano,DebtRank: Too Central to Fail? (Scientific Reports),2012,Scientific Reports,ARTICLE,HIGH,DOWNLOADED,Open access from Nature; Downloaded 2026-02-26,https://www.nature.com/articles/srep00541,Battiston DebtRank: Too Central to Fail?
240,Systemic Risk Networks,Fire Sales,Cont,Rama,Fire Sales Forensics: Measuring Endogenous Risk (MathFin),2016,Mathematical Finance,ARTICLE,MEDIUM,NEEDED,Wiley Online,https://onlinelibrary.wiley.com/,Cont Fire Sales Forensics: Measuring Endogenous Risk
241,Systemic Risk Networks,Contagion,Glasserman,Paul,Contagion in Financial Networks (JEL),2016,Journal of Economic Literature,ARTICLE,MEDIUM,NEEDED,AEA,https://www.aeaweb.org/,Glasserman Contagion in Financial Networks
242,System-Wide Stress Testing,BoE,Bank of England,,System-Wide Exploratory Scenario: Results,2024,Bank of England,REPORT,CRITICAL,DOWNLOADED,Free from BoE; Downloaded 2026-02-26,https://www.bankofengland.co.uk/stress-testing/,Bank of England System-Wide Exploratory Scenario: Results
243,System-Wide Stress Testing,ECB,ECB,,BEAST: A Model for System-Wide Risks and Macroprudential Policy (WP 2855),2023,ECB,WORKING_PAPER,CRITICAL,NEEDED,Free from ECB,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2855~en.pdf,ECB BEAST: A Model for System-Wide Risks and Macroprudential Policy
244,System-Wide Stress Testing,ECB,ECB,,Simulating Dynamic Balance Sheet Reactions to Macroeconomic Stress (Macroprud Bull),2025,ECB Macroprudential Bulletin,REPORT,CRITICAL,NEEDED,Free from ECB,https://www.ecb.europa.eu/pub/financial-stability/macroprudential-bulletin/,ECB Simulating Dynamic Balance Sheet Reactions to Macroeconomic Stress
245,System-Wide Stress Testing,BoE,Bank of England,,Stress Testing Results 2025,2025,Bank of England,REPORT,HIGH,DOWNLOADED,Free from BoE; Downloaded 2026-02-26,https://www.bankofengland.co.uk/stress-testing/,Bank of England Stress Testing Results 2025
246,System-Wide Stress Testing,IMF,IMF,,Growth of Nonbanks Is Revealing New Financial Stability Risks (GFSR April 2025),2025,IMF,REPORT,HIGH,NEEDED,Free from IMF,https://www.imf.org/en/Publications/GFSR,IMF Growth of Nonbanks Is Revealing New Financial Stability Risks
247,Data Sources,Call Reports,FFIEC,,FR Y-9C Instructions and MDRM Data Dictionary,Current,FFIEC,DATA,CRITICAL,NEEDED,Free from FFIEC,https://www.ffiec.gov/nicpubweb/nicweb/DataDownload.aspx,FFIEC FR Y-9C Instructions and MDRM Data Dictionary
248,Data Sources,Call Reports,FFIEC,,Call Report (FFIEC 031/041/051) Instructions,Current,FFIEC,DATA,CRITICAL,NEEDED,Free from FFIEC,https://www.ffiec.gov/pdf/FFIEC_forms/FFIEC031_FFIEC041_FFIEC051_202312.pdf,FFIEC Call Report Instructions
249,Data Sources,BHC Data,Chicago Fed,,BHC Data Variable Lists and Historical Files,Current,Chicago Fed,DATA,HIGH,NEEDED,Free from Chicago Fed,https://www.chicagofed.org/banking/financial-institution-reports/bhc-data,Chicago Fed BHC Data Variable Lists and Historical Files
250,Data Sources,Identifiers,CRSP,,Bank-PERMCO to RSSD Identifier Mapping,Current,CRSP/WRDS,DATA,HIGH,NEEDED,Requires WRDS subscription,https://wrds-www.wharton.upenn.edu/,CRSP Bank-PERMCO to RSSD Identifier Mapping
251,Data Sources,FDIC,FDIC,,Statistics on Depository Institutions (SDI),Current,FDIC,WEBSITE,HIGH,NEEDED,Free from FDIC,https://www.fdic.gov/analysis/sdi/,FDIC Statistics on Depository Institutions
252,Data Sources,Y-14A,work computer,,FR Y-14A Documentation (publicly available portions),Current,Federal Reserve,DATA,HIGH,DOWNLOADED,Check Fed website for public documentation; Downloaded 2026-02-26,https://www.federalreserve.gov/apps/reportingforms/Report/Index/FR_Y-14A,work computer FR Y-14A Documentation
253,Data Sources,Methodology,Fed Board,,Stress Test Methodology Documents (2020-2025 vintages),Various,Federal Reserve,REGULATORY,HIGH,DOWNLOADED,Free from Fed; collect all annual methodology PDFs; Downloaded 2026-02-26,https://www.federalreserve.gov/publications/dodd-frank-act-stress-test-publications.htm,Fed Board Stress Test Methodology Documents
254,Key Regulatory Documents,Basel I,BCBS,,International Convergence of Capital Measurement (Basel I),1988,BCBS,REGULATORY,HIGH,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/publ/bcbs04a.htm,BCBS International Convergence of Capital Measurement
255,Key Regulatory Documents,Basel II,BCBS,,Basel II Revised Framework,2004,BCBS,REGULATORY,HIGH,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/publ/bcbs107.htm,BCBS Basel II Revised Framework
256,Key Regulatory Documents,Stress Testing,BCBS,,Principles for Sound Stress Testing Practices,2009,BCBS,REGULATORY,CRITICAL,DOWNLOADED,Item 87 in existing CSV acquired as BCBS 155 - verify completeness; Downloaded 2026-02-26,https://www.bis.org/publ/bcbs155.htm,BCBS Principles for Sound Stress Testing Practices
257,Key Regulatory Documents,Stress Testing,BCBS,,Stress Testing Principles (revised),2018,BCBS,REGULATORY,CRITICAL,DOWNLOADED,Item 93 in existing CSV acquired as BCBS 450 - verify completeness; Downloaded 2026-02-26,https://www.bis.org/bcbs/publ/d450.htm,BCBS Stress Testing Principles
258,Key Regulatory Documents,SCAP,Fed Board,,SCAP: Design and Implementation,2009,Federal Reserve,REGULATORY,CRITICAL,DOWNLOADED,Free from Fed/FRASER; Downloaded 2026-02-26,https://www.federalreserve.gov/bankinforeg/bcreg20090507a1.pdf,Fed Board SCAP: Design and Implementation
259,Key Regulatory Documents,DFAST,Fed Board,,DFAST 2020: Supervisory Stress Test Results,2020,Federal Reserve,REGULATORY,HIGH,DOWNLOADED,Free from Fed; Downloaded 2026-02-26,https://www.federalreserve.gov/publications/2020-june-dodd-frank-act-stress-tests.htm,Fed Board DFAST 2020: Supervisory Stress Test Results
260,Key Regulatory Documents,DFAST,Fed Board,,2025 DFAST Results,2025,Federal Reserve,REGULATORY,HIGH,DOWNLOADED,Free from Fed; Downloaded 2026-02-26,https://www.federalreserve.gov/publications/dodd-frank-act-stress-test-publications.htm,Fed Board 2025 DFAST Results
261,Key Regulatory Documents,GAO,GAO,,Federal Reserve: Additional Actions Could Help Ensure Achievement of Stress Test Goals (GAO-17-48),2017,GAO,REPORT,MEDIUM,NEEDED,Free from GAO,https://www.gao.gov/products/gao-17-48,GAO Federal Reserve: Additional Actions Could Help Ensure Achievement of Stress
262,Key Regulatory Documents,Industry,BPI,,Comments on Proposed Changes to the Stress Testing Framework,2024,BPI,REPORT,MEDIUM,NEEDED,Free from BPI,https://bpi.com/,BPI Comments on Proposed Changes to the Stress Testing Framework
263,Key Regulatory Documents,Industry,SIFMA,,Comment Letter on Proposed Modifications to the GMS Component,2023,SIFMA,REPORT,MEDIUM,NEEDED,Free from SIFMA,https://www.sifma.org/,SIFMA Comment Letter on Proposed Modifications to the GMS Component
264,Miscellaneous Essential,Uncertainty,Knight,Frank,"Risk, Uncertainty, and Profit",1921,,BOOK,HIGH,DOWNLOADED,Public domain; free from Library of Economics and Liberty; Downloaded 2026-02-26,https://www.econlib.org/library/Knight/knRUP.html,"Knight Risk, Uncertainty, and Profit"
265,Miscellaneous Essential,Crises,Kindleberger,Charles,"Manias, Panics, and Crashes (7th ed)",2015,Palgrave Macmillan,BOOK,HIGH,NEEDED,Palgrave or Amazon; Aliber updated edition,https://scholar.google.com/scholar?q=Kindleberger+Manias%2C+Panics%2C+and+Crashes,"Kindleberger Manias, Panics, and Crashes"
266,Miscellaneous Essential,Crises,Reinhart,Carmen,This Time Is Different: Eight Centuries of Financial Folly,2009,Princeton UP,BOOK,MEDIUM,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Reinhart This Time Is Different: Eight Centuries of Financial Folly
267,Miscellaneous Essential,Bank Risk,Sarin,Natasha,Understanding Bank Risk through Market Measures (BPEA),2016,Brookings Papers on Economic Activity,ARTICLE,HIGH,NEEDED,Free from Brookings,https://www.brookings.edu/articles/understanding-bank-risk-through-market-measures/,Sarin Understanding Bank Risk through Market Measures
268,Miscellaneous Essential,COVID,Feldberg,Greg,Stress Testing in the Time of COVID-19 (BPEA),2020,Brookings Papers on Economic Activity,ARTICLE,HIGH,NEEDED,Free from Brookings,https://www.brookings.edu/,Feldberg Stress Testing in the Time of COVID-19
269,Miscellaneous Essential,Banking,Roy,Saketh,Constrained Dynamism (JFR),2023,Journal of Financial Regulation,ARTICLE,HIGH,NEEDED,Oxford Academic,https://academic.oup.com/jfr,Roy Constrained Dynamism
270,Miscellaneous Essential,Procyclicality,Gordy,Michael,Procyclicality in Basel II (JFI),2006,Journal of Financial Intermediation,ARTICLE,MEDIUM,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Gordy Procyclicality in Basel II
271,Political Histories of Banking Acts,Pre-Civil War,Hammond,Bray,Banks and Politics in America from the Revolution to the Civil War,1957,Princeton UP,BOOK,CRITICAL,NEEDED,Classic political banking history; Princeton UP or used,https://press.princeton.edu/,Hammond Banks and Politics in America from the Revolution to the Civil War
272,Political Histories of Banking Acts,National Banking Era,Sprague,Oliver M.W.,History of Crises Under the National Banking System,1910,National Monetary Commission,BOOK,CRITICAL,NEEDED,FRASER has digitized NMC reports,https://fraser.stlouisfed.org/,Sprague History of Crises Under the National Banking System
273,Political Histories of Banking Acts,Contemporary,Pernell,Kim,Visions of Financial Order: National Institutions and Financial Regulation in the US and UK,2024,Cambridge UP,BOOK,CRITICAL,NEEDED,Won 2025 Amsden Award; Cambridge UP,https://www.cambridge.org/,Pernell Visions of Financial Order: National Institutions and Financial Regulation in
274,Political Histories of Banking Acts,Contemporary,Conti-Brown,Peter,Our Money: Monetary Policy and the Transformation of the Federal Reserve System,2025,,BOOK,CRITICAL,NEEDED,Recently published; check publisher,https://scholar.google.com/scholar?q=Conti-Brown+Our+Money%3A+Monetary+Policy+and+the+Transformation+of+the+Federal+Reserve+System,Conti-Brown Our Money: Monetary Policy and the Transformation of the Federal Reserve System
275,Political Histories of Banking Acts,Glass-Steagall,Benston,George J.,The Separation of Commercial and Investment Banking: The Glass-Steagall Act Revisited and Reconsidered,1990,Oxford UP,BOOK,HIGH,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=Benston+The+Separation+of+Commercial+and+Investment+Banking%3A+The+Glass-Steagall+Act,Benston The Separation of Commercial and Investment Banking: The Glass-Steagall Act
276,Political Histories of Banking Acts,Consolidation,Wilmarth,Arthur E.,Taming the Megabanks: Why We Need a New Glass-Steagall Act,2020,Oxford UP,BOOK,HIGH,NEEDED,Oxford UP or Amazon,https://global.oup.com/,Wilmarth Taming the Megabanks: Why We Need a New Glass-Steagall Act
277,Political Histories of Banking Acts,Dodd-Frank,Skeel,David,The New Financial Deal: Understanding the Dodd-Frank Act and Its (Unintended) Consequences,2011,Wiley,BOOK,HIGH,NEEDED,Wiley or Amazon,https://scholar.google.com/scholar?q=Skeel+The+New+Financial+Deal%3A+Understanding+the+Dodd-Frank+Act+and+Its+Consequences,Skeel The New Financial Deal: Understanding the Dodd-Frank Act and Its Consequences
278,Political Histories of Banking Acts,Comprehensive,Markham,Jerry W.,"A Financial History of the United States (7 vols, covering 1700-2010)",2002-21,M.E. Sharpe/Routledge,BOOK,HIGH,NEEDED,Routledge; expensive multi-volume set — prioritize relevant volumes,https://www.routledge.com/,Markham A Financial History of the United States
279,Political Histories of Banking Acts,Progressive Era,White,Eugene N.,"The Regulation and Reform of the American Banking System, 1900-1929",1983,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or used,https://press.princeton.edu/,"White The Regulation and Reform of the American Banking System, 1900-1929"
280,Political Histories of Banking Acts,Credit Cards,Vanatta,Sean,Plastic Capitalism: Banks and the Making of Consumer Credit,2024,Princeton UP,BOOK,HIGH,NEEDED,Recently published; Princeton UP,https://press.princeton.edu/,Vanatta Plastic Capitalism: Banks and the Making of Consumer Credit
281,Political Histories of Banking Acts,Pecora Investigation,Perino,Michael,The Hellhound of Wall Street: How Ferdinand Pecora's Investigation of the Great Crash Changed American Finance,2010,Penguin,BOOK,HIGH,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Perino+The+Hellhound+of+Wall+Street%3A+How+Ferdinand+Pecora%27s+Investigation+of+the+Great,Perino The Hellhound of Wall Street: How Ferdinand Pecora's Investigation of the Great
282,Political Histories of Banking Acts,Glass-Steagall,CRS,,Glass-Steagall Legislation: A Comparative Analysis of the Banking Acts of 1933 and 1999 (R44349),2018,Congressional Research Service,REPORT,MEDIUM,NEEDED,Free from CRS,https://crsreports.congress.gov/,CRS Glass-Steagall Legislation: A Comparative Analysis of the Banking Acts of 1933
283,Political Histories of Banking Acts,Dodd-Frank,CRS,,The Dodd-Frank Wall Street Reform and Consumer Protection Act: Background and Summary (R41350),2017,Congressional Research Service,REPORT,MEDIUM,NEEDED,Free from CRS,https://crsreports.congress.gov/,CRS The Dodd-Frank Wall Street Reform and Consumer Protection Act: Background and
284,Political Histories of Banking Acts,Regulatory Perimeter,Fed Board,,Brief History of the U.S. Regulatory Perimeter,2021,Federal Reserve,REGULATORY,MEDIUM,NEEDED,Free from Fed,https://www.federalreserve.gov/,Fed Board Brief History of the U.S. Regulatory Perimeter
285,Political Histories of Banking Acts,BHCA,Spong,Kenneth,The Bank Holding Company Act: Its Evolution and Effects,1990,Federal Reserve Bank of Kansas City,REPORT,MEDIUM,NEEDED,Free from KC Fed or FRASER,https://www.kansascityfed.org/,Spong The Bank Holding Company Act: Its Evolution and Effects
286,Political Histories of Banking Acts,FDICIA,Carnell,Richard Scott,FDICIA and the Road to Reform,1993,,ARTICLE,MEDIUM,NEEDED,Check law review databases,https://scholar.google.com/scholar?q=Carnell+FDICIA+and+the+Road+to+Reform,Carnell FDICIA and the Road to Reform
287,Political Histories of Banking Acts,FIRREA,Moe,Ronald C.,The Bailout of the Savings and Loan Industry: FIRREA and Its Implementation,1990,CRS,REPORT,MEDIUM,NEEDED,Congressional Research Service report,https://crsreports.congress.gov/,Moe The Bailout of the Savings and Loan Industry: FIRREA and Its Implementation
288,Political Histories of Banking Acts,New Deal,Burns,Helen,The American Banking Community and New Deal Banking Reforms 1933-1935,1974,Greenwood Press,BOOK,MEDIUM,NEEDED,Out of print; ILL or used,https://scholar.google.com/scholar?q=Burns+The+American+Banking+Community+and+New+Deal+Banking+Reforms+1933-1935,Burns The American Banking Community and New Deal Banking Reforms 1933-1935
289,Political Histories of Banking Acts,Jackson Era,Remini,Regulatory Document Library V.,Andrew Jackson and the Bank War,1967,Norton,BOOK,LOW,NEEDED,Amazon used or library,https://scholar.google.com/scholar?q=Remini+Andrew+Jackson+and+the+Bank+War,Remini Andrew Jackson and the Bank War
290,Political Histories of Banking Acts,National Banking,Davis,Andrew McFarland,The Origin of the National Banking System,1910,National Monetary Commission,BOOK,LOW,NEEDED,FRASER has digitized NMC reports,https://fraser.stlouisfed.org/,Davis The Origin of the National Banking System
291,Political Histories of Banking Acts,Free Banking,Rockoff,Hugh,The Free Banking Era: A Reexamination,1975,Arno Press,BOOK,LOW,NEEDED,Out of print; ILL,https://scholar.google.com/scholar?q=Rockoff+The+Free+Banking+Era%3A+A+Reexamination,Rockoff The Free Banking Era: A Reexamination
292,Political Histories of Banking Acts,Deregulation,Sherman,Matthew,A Short History of Financial Deregulation in the United States,2009,CEPR,REPORT,MEDIUM,NEEDED,Free from CEPR,https://cepr.net/,Sherman A Short History of Financial Deregulation in the United States
293,Political Histories of Banking Acts,Post-Crisis,Barr,Michael S.,The Financial Crisis and the Path of Reform (JEP),2012,Journal of Economic Perspectives,ARTICLE,HIGH,NEEDED,Free from AEA,https://www.aeaweb.org/,Barr The Financial Crisis and the Path of Reform
294,Political Histories of Banking Acts,Banking Research Rule,Whitehead,Charles K.,The Banking Research Rule and Evolving Financial Markets (Harvard Bus L Rev),2011,Harvard Business Law Review,ARTICLE,MEDIUM,NEEDED,Check Harvard Law School repository,https://www.hblr.org/,Whitehead The Banking Research Rule and Evolving Financial Markets
295,Classical Political Economy,Credit Theory,Marx,Karl,"Capital Vol. III, Part V: Division of Profit into Interest and Profit of Enterprise — Interest-Bearing Capital",1894,,BOOK,CRITICAL,DOWNLOADED,Multiple editions; Penguin Classics or marxists.org; Downloaded 2026-02-26,https://www.marxists.org/archive/marx/works/1894-c3/,"Marx Capital Vol. III, Part V: Division of Profit into Interest and Profit of"
